,t,X,Y,Z,occupancy,sig_x,sig_y,sig_z
0,0.0,-20.0,-20.0,2.8195689871061213e-09,1.0,0.0,0.0,0.0
1,0.0,-18.974358974358974,-20.0,2.080660775019176e-08,1.0,0.0,0.0,0.0
2,0.0,-17.94871794871795,-20.0,1.382083270430403e-07,1.0,0.0,0.0,0.0
3,0.0,-16.923076923076923,-20.0,8.263839221408459e-07,1.0,0.0,0.0,0.0
4,0.0,-15.897435897435898,-20.0,4.447790452229595e-06,1.0,0.0,0.0,0.0
5,0.0,-14.871794871794874,-20.0,2.1548726706969758e-05,1.0,0.0,0.0,0.0
6,0.0,-13.846153846153847,-20.0,9.397530670879815e-05,1.0,0.0,0.0,0.0
7,0.0,-12.82051282051282,-20.0,0.0003689102622186598,1.0,0.0,0.0,0.0
8,0.0,-11.794871794871796,-20.0,0.0013035946456864617,1.0,0.0,0.0,0.0
9,0.0,-10.76923076923077,-20.0,0.004146476866394348,1.0,0.0,0.0,0.0
10,0.0,-9.743589743589745,-20.0,0.011872188208837314,1.0,0.0,0.0,0.0
11,0.0,-8.71794871794872,-20.0,0.03059828928516605,1.0,0.0,0.0,0.0
12,0.0,-7.6923076923076925,-20.0,0.0709869255220525,1.0,0.0,0.0,0.0
13,0.0,-6.666666666666668,-20.0,0.14824308193991673,1.0,0.0,0.0,0.0
14,0.0,-5.641025641025641,-20.0,0.278666877241139,1.0,0.0,0.0,0.0
15,0.0,-4.615384615384617,-20.0,0.4715319380151886,1.0,0.0,0.0,0.0
16,0.0,-3.5897435897435908,-20.0,0.7182104574412445,1.0,0.0,0.0,0.0
17,0.0,-2.564102564102566,-20.0,0.9847073568206656,1.0,0.0,0.0,0.0
18,0.0,-1.5384615384615399,-20.0,1.2152831932936694,1.0,0.0,0.0,0.0
19,0.0,-0.5128205128205146,-20.0,1.3500898726981416,1.0,0.0,0.0,0.0
20,0.0,0.5128205128205109,-20.0,1.3500907080416797,1.0,0.0,0.0,0.0
21,0.0,1.538461538461536,-20.0,1.215289221657602,1.0,0.0,0.0,0.0
22,0.0,2.5641025641025617,-20.0,0.9847382049174662,1.0,0.0,0.0,0.0
23,0.0,3.589743589743588,-20.0,0.7183380992759404,1.0,0.0,0.0,0.0
24,0.0,4.615384615384613,-20.0,0.4719598678534066,1.0,0.0,0.0,0.0
25,0.0,5.64102564102564,-20.0,0.27982934664820464,1.0,0.0,0.0,0.0
26,0.0,6.666666666666664,-20.0,0.1508017867170293,1.0,0.0,0.0,0.0
27,0.0,7.69230769230769,-20.0,0.07555032533692824,1.0,0.0,0.0,0.0
